Book,Subject code,Author,Price,ISBN,Quantity,Rack,Edition
Cambridge IGCSE ICT   .-2nd ed,4,"BROWN, Graham",0,978-1-471-80721-3,65,,.-2nd ed
IGCSE Information and communication technology  ,4,"BROWN, Graham",0,978-0-4340-98382-9,15,,
Comple ICT for IGCSE  ,4,"DOYLE, Stephen",0,978-0-19-912906-5,4,,
Information systems for you  .- 4th ed ,4,"DOYLE, Stephen",0,978-1-4085-1519-8,10,,.- 4th ed 
Initial steps  ,4,"JESSON, Jill",0,978-521-74742-4,112,,
next steps : stage 1 .- 3rd ed,4,"jESSON, Jill",0,978-1-107-62513-6,92,,.- 3rd ed
next steps : stage 2 .- 3rd ed,4,"JESSON, Jill",0,97-8-1-107-62506-8,179,,.- 3rd ed
On track : stage 1 .- 3rd ed,4,"JESSON, Jill",0,978-1-107-62519-8,135,,.- 3rd ed
On track : stage 2 .- 3rd ed,4,"JESSON, Jill",0,978-1-107-62515-0,179,,.- 3rd ed
Cambridge igcse ICT coursebook   ,4,"LEADBETTER, Chris",0,978-0-521-17911-9,55,,
As level and Alevel  applied ICT   ,4,"SURGENT, Brian ",0,978-0-521-71764-9,15,,
teaching and assessing skills in Computer studies  ,4.071,"WAINWRIGHT, Stewart",0,978-0-521-75360-9,1,,
Cambridge IGCSE biology : workbook .- 4th ed ,570,"JONES, Mary",0,978-1-107-61493-2,81,,.- 4th ed 
PHILOSOPHY of education is an Introduction to concepts : principle and practice ,107,,0,9976-60-376-2,2,,
Cambridge International As and A level Psychology : revision Guide ,150,"CLARKE, David",0,978-1-4441-8,15,,
Key studies in psychology  .-  6th ed,150,GROSS RICHARD,0,978-1444-1-5610-2,20,,.-  6th ed
Psychology : the science of mind and behaviour .- 6th ed,150,GROSS RICHARD,0,978-1-444-10831-6,20,,.- 6th ed
Introducing psychological reseach  ,150.724,BANYARD PHILIP,0,978-1-4039-0038-5,10,,
Abnomal psychology  .- 4th ed ,157,"SELIGMAN, MARTIN E. P",0,978-0-393-94459-4,20,,.- 4th ed 
Thinking skills  ,160,"BUTTERWORTH , John",0,978-0-521-52149-9,2,,
Thinking skills : Critical Thinking and problem solving .- 2nd ed,160,"BUTTERWORTH , John",0,978-1-107-60630-2,5,,.- 2nd ed
Critical thinking : an Introduction  .- 2nd ed,160,"FISHER, Alec",0,978-1-107-40198-3,10,,.- 2nd ed
Sociology As and A level  ,301,"BARNARD, Andy",0,978-0-521-53214-3,15,,
Active Sociology for IGCSE  ,301,"BLUNDELL, Jonathan",0,0-582-43443-2,20,,
Cambridge IGCSE Sociology course  ,301,"BLUNDELL, Jonathan",0,978-1-107-64513-4,50,,
An Introduction to sociology   .- 4th ed ,301,"BROWN, Ken",0,978-0-7456-5008-1,6,,.- 4th ed 
Sociology   .- 7th ed,301,"GIDDENS, Antony",0,978-0-7456-5293-1,5,,.- 7th ed
Cambridge International AS and A level sociology : Course book ,301,LIVESEY Chris,0,978-1-107-67339-7,12,,
Economics AQA   .- 5th ed,330,"ANDERTON , Alain",0,978-1-4058-9238-4,10,,.- 5th ed
As and A -level Economics   ,330,"BAMFORD, Colin",0,0-521-00781-x,15,,
Cambridge International As and A level economics : coursebook .- 3r ed,330,"BAMFORD, Colin",0,978-1-107-67951-1,25,,.- 3r ed
Cambridge International As and A level economics  .- 2nd ed,330,"BAMFORD, Colin",0,978-521-12665-6,25,,.- 2nd ed
Stanlakes Introductory Economics  .- 7th ed,330,"GRANT , S. J",0,0-582-40548-3,5,,.- 7th ed
Cambridge International As and A level economics : revision Guide  ,330,"GRANT , Susan ",0,978-1-107-66178-3,13,,
Cambridge IGCSE Economics  : workbook ,330,"GRANT , Susan ",0,978-1107-61231-0,11,,
Cambridge IGCSE Economics  : coursebook ,330,"GRANT, Susan",0,978-1107-61233-4,45,,
IGCSE and O-level economics   ,330,GRANT Susan ,0,978-0521-72003-8,15,,
An introduction to modern Economics   .- 5th ed,330,"HARDWICK, Philip",0,0-582-35715-2,3,,.- 5th ed
Teaching and assessing skills in Economics  ,330.071241,"GRANT, Susan",0,0-521-54825-X,1,,
Complete Economics for IGCSE and O level : teacher's resource kit ,330.712,"TITLEY, Brian",0,978-0-19-912959-1,2,,
Enviromental economics  ,333.7,"KOLSTAD, Charles D",0,0-19-511954-1,10,,
Helping trouble pupils   ,371.940941,"KYRIACOU, Chris",0,978-0-7487-7279-7,5,,
Checkpoint English 1  ,420,"REYNOLDS, John",0,978-1-444-14383-6,119,,
Checkpoint English 2  ,420,"REYNOLDS, John",0,978-1-444-14385-0,120,,
Checkpoint English 3  ,420,"REYNOLDS, John",0,978-1-444-14387-4,65,,
teaching and assessing skills in English as a second Language  ,428.071,"LUCANTONI, Peter",0,978-0-521-75356-2,1,,
Cambridge Global English : coursebook 7; for cambridge secondary 1 english as a second language ,428.24,"BARKER, Chris",0,978-1-107-67807-1,100,,
Cambridge Global English : coursebook 8; for cambridge secondary 1 english as a second language ,428.24,"BARKER, Chris",0,978-1-107-61942-5,90,,
Cambridge Global English : coursebook 9; for cambridge secondary 1 english as a second language ,428.24,"BARKER, Chris",0,978-1-107-68973-2,92,,
Cambridge IGCSE English as a second language  : coursebook 1 .- 3rd ed,428.24,"LUCANTONI, Peter",0,978-0-521-73599-5,30,,.- 3rd ed
Cambridge IGCSE English as a second language  : coursebook .- 4th ed ,428.24,"LUCANTONI, Peter",0,978-1-107-66962-8,110,,.- 4th ed 
IGCSE English as a second Language : teacher's book ,428.2407,"LUCANTONI, Peter",0,0-521-00513-2,1,,
Cambridge IGCSE English as a second language  : workbook .- 4th ed ,428.24076,"LUCANTONI, Peter",0,978-1-107-67202-4,100,,.- 4th ed 
Checkpoint science 3  .- 2nd ed,500,"RILEY, Peter",0,978-1444-14378-2,83,,.- 2nd ed
Checkpoint scince 1  .- 2nd ed,500,"RILEY, Peter",0,978-1444-12603-7,150,,.- 2nd ed
Checkpoint scince 2  .- 2nd ed,500,"RILEY, Peter",0,978-1444-143751,90,,.- 2nd ed
Key Maths 8  .- 2nd ed,510,"BAKER,David",0,978-0-7486-5985-9,1,,.- 2nd ed
IGCSE Mathematics revision guide  ,510,"LAW, Martin",0,978-0-521-53902-9,40,,
Cambrigde IGCSE Mathematics : extended practice book ,510,"MORRISON, Karen",0,978-1-107-67272-7,120,,
Cambrigde IGCSE Mathematics : core practice book ,510,"MORRISON, Karen",0,978-1-107-60988-4,15,,
Pure mathematics 1  ,510,"NEILL, Hugh",0,978-0521-53011-8,25,,
Pure mathematics 2&3   ,510,"NEILL, Hugh",0,0-521-53012-1,25,,
Checkpoint maths 1  ,510,"PIMENTEL, Ric",0,978 -1444-143-959,200,,
Checkpoint maths 2  ,510,"PIMENTEL, Ric",0,978-1-444-14397-3,120,,
Checkpoint maths 3  ,510,"PIMENTEL, Ric",0,978-444-143-997,80,,
Cambridge IGCSE Mathematics : core and extended .- 3rd ed,510,"PIMENTEL, Ric",0,978-1-4441-9170-7,70,,.- 3rd ed
Core Mathematics for IGCSE  ,510,"RAYNER, David",0,978-0-19-914995-7,10,,
SMP interact for GCSE Mathematics : higher ,510,,0,0-521-89022-5,10,,
Checkpoint Maths 3 : teacher's resource book ,510.071241,"PIMENTEL, Ric",0,978-1-1444-14394-2,2,,
Checkpoint Maths 2 : teacher's resource book ,510.712,"PIMENTEL, Ric",0,978-1-444-14393-5,2,,
teaching and assessing skills in Mathemaatics  ,510.712,"SIMPSON, Andrey",0,0-521-75361-9,1,,
Statistics 1  ,519.5,"DOBBS, Steve",0,978-0-521-53013-2,20,,
Statistics 2   ,519.5,"DOBBS, Steve",0,978-0-521-5314-9,14,,
Cambridge IGCSE Physics   .- 2nd ed,530,"BRADLEY, Malcolm",0,978-0-00-759267-8,4,,.- 2nd ed
IGCSE Physics  .- 2nd ed,530,"DUNCAN, Tom",0,978-0-340-98187-0,60,,.- 2nd ed
Cambridge IGCSE Physics  : Course book ,530,"SANG, David",0,978-0-521-75773-7,30,,
